ID,NAME,Tennis Court Area,Park Name,ADDRESS,DISTRICT,WARD,Primary Permitting Status,Asset category,LIGHTS,Surface material,Lat,Long
3570,Agincourt Park,AGINCOURT PARK - Tennis Court Area,AGINCOURT PARK,27 GLEN WATFORD DR,Scarborough,41,Club,Outdoor Tennis Court,Yes,Coated,-79.27436958,43.78822902
3571,Agincourt Park,AGINCOURT PARK - Tennis Court Area,AGINCOURT PARK,27 GLEN WATFORD DR,Scarborough,41,Club,Outdoor Tennis Court,Yes,Coated,-79.27384777,43.78834572
3572,Agincourt Park,AGINCOURT PARK - Tennis Court Area,AGINCOURT PARK,27 GLEN WATFORD DR,Scarborough,41,Club,Outdoor Tennis Court,Yes,Coated,-79.2741961,43.78826694
3573,Agincourt Park,AGINCOURT PARK - Tennis Court Area,AGINCOURT PARK,27 GLEN WATFORD DR,Scarborough,41,Club,Outdoor Tennis Court,Yes,Coated,-79.27402261,43.78830584
29273,Agincourt Park,,AGINCOURT PARK,27 GLEN WATFORD DR,Scarborough,41,Club,Clubhouse,,,-79.27471885,43.78837437
2875,Alamosa Park,ALAMOSA PARK - Tennis Court Area,ALAMOSA PARK,111 ALAMOSA DR,North York,33,Club,Outdoor Tennis Court,No,Coated,-79.36940737,43.78104482
2876,Alamosa Park,ALAMOSA PARK - Tennis Court Area,ALAMOSA PARK,111 ALAMOSA DR,North York,33,Club,Outdoor Tennis Court,No,Coated,-79.36920626,43.7810446
2877,Alamosa Park,ALAMOSA PARK - Tennis Court Area,ALAMOSA PARK,111 ALAMOSA DR,North York,33,Club,Outdoor Tennis Court,No,Coated,-79.36960369,43.78104273
3563,Albion Gardens Park,ALBION GARDENS PARK - Tennis Court Area,ALBION GARDENS PARK,41 DEANLEA CRT,Etobicoke York,1,Club,Outdoor Tennis Court,Yes,Coated,-79.55932899,43.73918301
3564,Albion Gardens Park,ALBION GARDENS PARK - Tennis Court Area,ALBION GARDENS PARK,41 DEANLEA CRT,Etobicoke York,1,Club,Outdoor Tennis Court,Yes,Coated,-79.55915929,43.73921704
3565,Albion Gardens Park,ALBION GARDENS PARK - Tennis Court Area,ALBION GARDENS PARK,41 DEANLEA CRT,Etobicoke York,1,Club,Outdoor Tennis Court,Yes,Coated,-79.55898813,43.73925533
